Сколько будет 2 × 1 ?,4,2,6,12,2
Сколько будет 2 × 2 ?,4,8,10,6,1
Сколько будет 2 × 3 ?,14,8,4,6,4
Сколько будет 2 × 4 ?,8,4,12,16,1
Сколько будет 2 × 5 ?,14,10,12,18,2
Сколько будет 2 × 6 ?,16,12,10,8,2
Сколько будет 2 × 7 ?,10,12,14,16,3
Сколько будет 2 × 8 ?,14,18,20,16,4
Сколько будет 2 × 9 ?,20,18,12,14,2
Сколько будет 3 × 1 ?,9,3,12,6,2
Сколько будет 3 × 2 ?,3,6,9,12,2
Сколько будет 3 × 3 ?,9,15,12,6,1
Сколько будет 3 × 4 ?,18,9,15,12,4
Сколько будет 3 × 5 ?,18,15,12,21,2
Сколько будет 3 × 6 ?,12,18,21,15,2
Сколько будет 3 × 7 ?,21,24,18,15,1
Сколько будет 3 × 8 ?,18,27,21,24,4
Сколько будет 3 × 9 ?,27,24,30,21,1
Сколько будет 4 × 1 ?,16,4,12,8,2
Сколько будет 4 × 2 ?,12,4,8,16,3
Сколько будет 4 × 3 ?,12,16,8,20,1
Сколько будет 4 × 4 ?,24,20,12,16,4
Сколько будет 4 × 5 ?,28,20,24,16,2
Сколько будет 4 × 6 ?,28,32,24,20,3
Сколько будет 4 × 7 ?,20,28,32,16,2
Сколько будет 4 × 8 ?,32,36,28,20,1
Сколько будет 4 × 9 ?,32,40,36,28,3
Сколько будет 5 × 1 ?,15,10,5,25,3
Сколько будет 5 × 2 ?,15,10,5,20,2
Сколько будет 5 × 3 ?,15,10,20,25,1
Сколько будет 5 × 4 ?,30,20,15,25,2
Сколько будет 5 × 5 ?,35,30,20,25,4
Сколько будет 5 × 6 ?,35,25,30,40,3
Сколько будет 5 × 7 ?,45,30,40,35,4
Сколько будет 5 × 8 ?,40,30,50,35,1
Сколько будет 5 × 9 ?,35,45,50,40,2
Сколько будет 6 × 1 ?,12,18,6,24,3
Сколько будет 6 × 2 ?,18,24,12,30,3
Сколько будет 6 × 3 ?,18,24,12,30,1
Сколько будет 6 × 4 ?,36,18,12,24,4
Сколько будет 6 × 5 ?,12,30,42,36,2
Сколько будет 6 × 6 ?,36,48,42,30,1
Сколько будет 6 × 7 ?,48,42,30,36,2
Сколько будет 6 × 8 ?,54,42,30,48,4
Сколько будет 6 × 9 ?,42,54,60,30,2
Сколько будет 7 × 1 ?,21,7,14,28,2
Сколько будет 7 × 2 ?,7,21,14,28,3
Сколько будет 7 × 3 ?,21,28,14,35,3
Сколько будет 7 × 4 ?,35,21,42,28,4
Сколько будет 7 × 5 ?,35,28,42,49,1
Сколько будет 7 × 6 ?,35,42,49,56,2
Сколько будет 7 × 7 ?,56,35,42,49,4
Сколько будет 7 × 8 ?,42,49,56,63,3
Сколько будет 7 × 9 ?,63,70,56,49,1
Сколько будет 8 × 1 ?,32,24,8,16,3
Сколько будет 8 × 2 ?,24,32,8,16,4
Сколько будет 8 × 3 ?,16,40,24,32,3
Сколько будет 8 × 4 ?,32,40,24,48,1
Сколько будет 8 × 5 ?,32,40,48,56,2
Сколько будет 8 × 6 ?,40,48,64,32,2
Сколько будет 8 × 7 ?,40,24,48,56,4
Сколько будет 8 × 8 ?,24,48,64,72,3
Сколько будет 8 × 9 ?,64,48,56,72,4
Сколько будет 9 × 1 ?,36,9,18,27,2
Сколько будет 9 × 2 ?,18,36,27,8,1
Сколько будет 9 × 3 ?,54,27,45,36,2
Сколько будет 9 × 4 ?,18,27,45,36,4
Сколько будет 9 × 5 ?,45,36,27,54,1
Сколько будет 9 × 6 ?,63,45,54,81,3
Сколько будет 9 × 7 ?,63,27,72,54,1
Сколько будет 9 × 8 ?,81,54,90,72,4
Сколько будет 9 × 9 ?,90,72,81,63,3